Teste 12C - Cap Dinamico por Setor
Modo sombra; usa somente meses anteriores para classificar o setor de cada mes.

Cenario: baseline_consolidado | Sem ajuste por regime setorial.
2024-05: bucket=queda_leve | acoes=18 | ret_def=-2.28% | IBOV=-3.95% | alfa_def=1.67%
2024-06: bucket=queda_leve | acoes=18 | ret_def=1.69% | IBOV=1.54% | alfa_def=0.16%
2024-07: bucket=queda_leve | acoes=16 | ret_def=2.24% | IBOV=2.35% | alfa_def=-0.11%
2024-08: bucket=queda_leve | acoes=12 | ret_def=4.70% | IBOV=6.76% | alfa_def=-2.05%
2024-09: bucket=alta | acoes=18 | ret_def=-0.48% | IBOV=-2.34% | alfa_def=1.86%
2024-10: bucket=alta | acoes=21 | ret_def=0.48% | IBOV=-2.10% | alfa_def=2.58%
2024-11: bucket=alta | acoes=20 | ret_def=-0.78% | IBOV=-1.91% | alfa_def=1.13%
2024-12: bucket=queda_leve | acoes=15 | ret_def=-2.78% | IBOV=-3.95% | alfa_def=1.17%
2025-01: bucket=queda_forte | acoes=11 | ret_def=1.73% | IBOV=5.00% | alfa_def=-3.27%
2025-02: bucket=queda_forte | acoes=14 | ret_def=-0.58% | IBOV=-2.52% | alfa_def=1.94%
2025-03: bucket=queda_leve | acoes=13 | ret_def=0.91% | IBOV=5.86% | alfa_def=-4.95%
2025-04: bucket=alta | acoes=18 | ret_def=11.77% | IBOV=2.99% | alfa_def=8.78%
2025-05: bucket=alta | acoes=18 | ret_def=6.32% | IBOV=1.40% | alfa_def=4.92%
2025-06: bucket=alta | acoes=18 | ret_def=1.22% | IBOV=1.51% | alfa_def=-0.29%
2025-07: bucket=alta | acoes=19 | ret_def=-8.77% | IBOV=-4.64% | alfa_def=-4.13%
2025-08: bucket=alta | acoes=19 | ret_def=8.53% | IBOV=6.78% | alfa_def=1.74%
2025-09: bucket=alta | acoes=20 | ret_def=5.04% | IBOV=3.62% | alfa_def=1.42%
2025-10: bucket=alta | acoes=19 | ret_def=3.23% | IBOV=2.76% | alfa_def=0.47%
2025-11: bucket=alta | acoes=20 | ret_def=5.78% | IBOV=5.73% | alfa_def=0.05%
2025-12: bucket=alta | acoes=18 | ret_def=-4.39% | IBOV=1.59% | alfa_def=-5.98%
