ticker_original,ticker_yfinance,nome,setor,subsetor,fonte,data_coleta,status_validacao
ABEV3,ABEV3.SA,AMBEV S/A,,,B3 carteira teorica IBOV,2026-06-29T13:14:20,validado
ALOS3,ALOS3.SA,ALLOS,,,B3 carteira teorica IBOV,2026-06-29T13:14:20,validado
ASAI3,ASAI3.SA,ASSAI,,,B3 carteira teorica IBOV,2026-06-29T13:14:20,validado
AURE3,AURE3.SA,AUREN,,,B3 carteira teorica IBOV,2026-06-29T13:14:20,validado
AXIA3,AXIA3.SA,AXIA ENERGIA,,,B3 carteira teorica IBOV,2026-06-29T13:14:20,validado
AZZA3,AZZA3.SA,AZZAS 2154,,,B3 carteira teorica IBOV,2026-06-29T13:14:20,validado
B3SA3,B3SA3.SA,B3,,,B3 carteira teorica IBOV,2026-06-29T13:14:20,validado
BBAS3,BBAS3.SA,BRASIL,,,B3 carteira teorica IBOV,2026-06-29T13:14:20,validado
BBDC3,BBDC3.SA,BRADESCO,,,B3 carteira teorica IBOV,2026-06-29T13:14:20,validado
BBDC4,BBDC4.SA,BRADESCO,,,B3 carteira teorica IBOV,2026-06-29T13:14:20,validado
BBSE3,BBSE3.SA,BBSEGURIDADE,,,B3 carteira teorica IBOV,2026-06-29T13:14:20,validado
BEEF3,BEEF3.SA,MINERVA,,,B3 carteira teorica IBOV,2026-06-29T13:14:20,validado
BPAC11,BPAC11.SA,BTGP BANCO,,,B3 carteira teorica IBOV,2026-06-29T13:14:20,validado
BRAP4,BRAP4.SA,BRADESPAR,,,B3 carteira teorica IBOV,2026-06-29T13:14:20,validado
BRAV3,BRAV3.SA,BRAVA,,,B3 carteira teorica IBOV,2026-06-29T13:14:20,validado
BRKM5,BRKM5.SA,BRASKEM,,,B3 carteira teorica IBOV,2026-06-29T13:14:20,validado
CEAB3,CEAB3.SA,CEA MODAS,,,B3 carteira teorica IBOV,2026-06-29T13:14:20,validado
CMIG4,CMIG4.SA,CEMIG,,,B3 carteira teorica IBOV,2026-06-29T13:14:20,validado
