ticker_original,ticker_yfinance,nome,setor,subsetor,fonte,data_coleta,status_validacao
RAIL3,RAIL3.SA,RUMO S.A.,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
RDOR3,RDOR3.SA,REDE D OR,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
RECV3,RECV3.SA,PETRORECSA,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
RENT3,RENT3.SA,LOCALIZA,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
SANB11,SANB11.SA,SANTANDER BR,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
SBSP3,SBSP3.SA,SABESP,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
SLCE3,SLCE3.SA,SLC AGRICOLA,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
SMFT3,SMFT3.SA,SMART FIT,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
SUZB3,SUZB3.SA,SUZANO S.A.,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
TAEE11,TAEE11.SA,TAESA,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
TIMS3,TIMS3.SA,TIM,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
TOTS3,TOTS3.SA,TOTVS,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
UGPA3,UGPA3.SA,ULTRAPAR,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
USIM5,USIM5.SA,USIMINAS,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
VALE3,VALE3.SA,VALE,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
VAMO3,VAMO3.SA,VAMOS,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
VBBR3,VBBR3.SA,VIBRA,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
VIVA3,VIVA3.SA,VIVARA S.A.,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
VIVT3,VIVT3.SA,TELEF BRASIL,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
WEGE3,WEGE3.SA,WEG,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
YDUQ3,YDUQ3.SA,YDUQS PART,,,B3 carteira teorica IBOV,2026-06-29T09:49:42,validado
